StartTime,LastTime,Trans,Flgs,Dur,RunTime,IdleTime,Mean,StdDev,Sum,Min,Max,SrcMa,DstMa,sEnc,dEnc,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,AutoId,Cause,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,TotAppByte,SAppBytes,DAppBytes,PCRatio,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,Retrans,SrcRetra,DstRetra,pRetran,SrcGap,DstGap,Rate,SrcRate,DstRate,Dir,State,SrcWin,DstWin,SrcTCPBase,DstTCPBase,SrcMss,DstMss,TcpRtt,SynAck,AckDat,TcpOpt,Inode,Offset,sMeanPktSz,dMeanPktSz
07/03.05:56:36.154240,07/03.05:56:36.154258,1, e        ,0.000018,0.000018,1728415872.000000,0.000018,0.000000,0.000018,0.000018,0.000018,UAA,UAA,e,,192.168.10.9,192.168.10.9,arp,,,,,,,,,,,,,0,Start,9,9,0,540,540,0,0,0,0,-0.000000,213333328.000000,213333328.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,444444.437500,444444.437500,0.000000,who,INT,,,,,,,0.000000,0.000000,0.000000,,,1116,60.000000,0.000000
07/03.05:56:37.567312,07/03.05:56:37.567312,1, e     A  ,0.000000,0.000000,1728415872.000000,0.000000,0.000000,0.000000,0.000000,0.000000,UAA,UAA,e,,192.168.10.9,0.0.0.1,igmp,,,0,,cs0,,1,,0,,0x0000,,0,Start,1,1,0,60,60,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,1192,60.000000,0.000000
07/03.05:56:37.567472,07/03.05:56:37.567472,1, e     A  ,0.000000,0.000000,1728415872.000000,0.000000,0.000000,0.000000,0.000000,0.000000,UAA,UAA,e,,192.168.10.9,0.0.0.1,igmp,,,0,,cs0,,1,,0,,0x0100,,0,Start,1,1,0,60,60,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,1268,60.000000,0.000000
07/03.05:56:37.568616,07/03.05:56:37.568616,1, e     A  ,0.000000,0.000000,1728415872.000000,0.000000,0.000000,0.000000,0.000000,0.000000,UAA,UAA,e,,192.168.10.9,0.0.0.1,igmp,,,0,,cs0,,1,,0,,0x0200,,0,Start,1,1,0,60,60,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,1344,60.000000,0.000000
07/03.05:56:37.568863,07/03.05:56:37.667507,1, e        ,0.098644,0.098644,1728415872.000000,0.098644,0.000000,0.098644,0.098644,0.098644,UAA,UAA,e,,192.168.10.9,224.0.0.252,udp,60372,hostmon,0,,cs0,,1,,0,,0x0500,,0,Start,18,18,0,1260,1260,0,0,0,0,-0.000000,96508.656250,96508.656250,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,172.336884,172.336884,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,1420,70.000000,0.000000
07/03.05:56:37.651836,07/03.05:56:37.651836,1, e     A  ,0.000000,0.000000,1728415872.000000,0.000000,0.000000,0.000000,0.000000,0.000000,UAA,UAA,e,,192.168.10.9,0.0.0.1,igmp,,,0,,cs0,,1,,0,,0x0400,,0,Start,1,1,0,60,60,0,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,1500,60.000000,0.000000
07/03.05:56:37.897130,07/03.06:10:58.043631,1, e        ,860.146484,860.146484,1728415872.000000,860.146484,0.000000,860.146484,860.146484,860.146484,UAA,UAA,e,e,192.168.10.9,192.168.10.3,arp,,,,,,,,,,,,,0,Start,121,95,26,7260,5700,1560,0,0,0,-0.000000,66.407295,52.456181,13.951112,0,0,0,0.000000,0,0,0,0.000000,,,0.139511,0.109284,0.029065,who,CON,,,,,,,0.000000,0.000000,0.000000,,,1576,60.000000,60.000000
07/03.05:56:37.897192,07/03.05:58:00.965600,1, e        ,83.068405,83.068405,1728415872.000000,83.068405,0.000000,83.068405,83.068405,83.068405,UAA,UAA,e,e,192.168.10.9,192.168.10.3,udp,netbios-ns,netbios-ns,0,0,cs0,cs0,128,128,0,0,0x7901,0x0858,0,Start,80,38,42,8092,3820,4272,0,0,0,-0.000000,759.951965,358.258942,401.693024,0,0,0,0.000000,0,0,0,0.000000,,,0.951023,0.445416,0.493569,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,1828,100.526314,101.714287
07/03.05:56:37.908429,07/03.05:56:37.908721,1, e        ,0.000292,0.000292,1728415872.000000,0.000292,0.000000,0.000292,0.000292,0.000292,UAA,UAA,e,e,192.168.10.9,192.168.10.3,udp,63683,domain,0,0,cs0,cs0,128,128,0,0,0x0800,0x0855,0,Start,4,2,2,592,246,346,0,0,0,-0.000000,8109588.500000,3369863.000000,4739726.000000,0,0,0,0.000000,0,0,0,0.000000,,,10273.972656,3424.657471,3424.657471,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,1916,123.000000,173.000000
07/03.05:56:37.908639,07/03.05:56:37.908932,1, e        ,0.000293,0.000293,1728415872.000000,0.000293,0.000000,0.000293,0.000293,0.000293,UAA,UAA,e,e,192.168.10.9,192.168.10.3,udp,63276,domain,0,0,cs0,cs0,128,128,0,0,0x0900,0x0955,0,Start,4,2,2,592,246,346,0,0,0,-0.000000,8081911.500000,3358362.000000,4723549.500000,0,0,0,0.000000,0,0,0,0.000000,,,10238.908203,3412.969482,3412.969482,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,2004,123.000000,173.000000
07/03.05:56:37.926525,07/03.05:56:37.926704,1, e        ,0.000179,0.000179,1728415872.000000,0.000179,0.000000,0.000179,0.000179,0.000179,UAA,UAA,e,e,192.168.10.9,192.168.10.3,udp,56368,domain,0,0,cs0,cs0,128,128,0,0,0x0a00,0x0a55,0,Start,4,2,2,328,148,180,0,0,0,-0.000000,7329609.000000,3307262.750000,4022346.500000,0,0,0,0.000000,0,0,0,0.000000,,,16759.777344,5586.592285,5586.592285,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,2092,74.000000,90.000000
07/03.05:56:37.926589,07/03.05:56:37.926769,1, e        ,0.000180,0.000180,1728415872.000000,0.000180,0.000000,0.000180,0.000180,0.000180,UAA,UAA,e,e,192.168.10.9,192.168.10.3,udp,62882,domain,0,0,cs0,cs0,128,128,0,0,0x0b00,0x0b55,0,Start,4,2,2,328,148,180,0,0,0,-0.000000,7288889.000000,3288888.750000,4000000.000000,0,0,0,0.000000,0,0,0,0.000000,,,16666.666016,5555.555664,5555.555664,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,2176,74.000000,90.000000
07/03.05:56:37.928871,07/03.05:56:37.929028,1, e        ,0.000157,0.000157,1728415872.000000,0.000157,0.000000,0.000157,0.000157,0.000157,UAA,UAA,e,e,192.168.10.9,192.168.10.3,udp,62884,ldap,0,0,cs0,cs0,128,128,0,0,0x0c00,0x0c55,0,Start,4,2,2,822,412,410,0,0,0,-0.000000,20942674.000000,10496815.000000,10445860.000000,0,0,0,0.000000,0,0,0,0.000000,,,19108.279297,6369.426758,6369.426758,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,2260,206.000000,205.000000
07/03.05:56:37.928876,07/03.05:56:37.929043,1, e        ,0.000167,0.000167,1728415872.000000,0.000167,0.000000,0.000167,0.000167,0.000167,UAA,UAA,e,e,192.168.10.9,192.168.10.3,udp,62885,ldap,0,0,cs0,cs0,128,128,0,0,0x0d00,0x0d55,0,Start,4,2,2,908,498,410,0,0,0,-0.000000,21748502.000000,11928143.000000,9820359.000000,0,0,0,0.000000,0,0,0,0.000000,,,17964.070312,5988.023926,5988.023926,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,2348,249.000000,205.000000
07/03.05:56:38.027601,07/03.05:57:34.388992,1, e *      ,56.361389,56.361389,1728415872.000000,56.361389,0.000000,56.361389,56.361389,56.361389,UAA,UAA,e,e,192.168.10.9,192.168.10.3,tcp,1028,epmap,0,0,cs0,cs0,128,128,0,0,0x7101,0xbc56,0,Start,40,26,14,5752,3176,2576,0,0,0,-0.000000,773.011475,433.488251,339.523224,12,6,6,23.076923,0,0,0,0.000000,0,0,0.691963,0.443566,0.230654, ->,FIN,64768,524800,1036434646,1682810855,1460,1460,0.000095,0.000064,0.000031,Mws,,2436,122.153847,184.000000
07/03.05:56:38.029208,07/03.05:57:04.390389,1, e *      ,26.361181,26.361181,1728415872.000000,26.361181,0.000000,26.361181,26.361181,26.361181,UAA,UAA,e,e,192.168.10.9,192.168.10.3,tcp,1029,49671,0,0,cs0,cs0,128,128,0,0,0xef00,0xc255,0,Start,42,24,18,8750,5058,3692,0,0,0,-0.000000,2529.477051,1471.254272,1058.222656,14,7,7,25.000000,0,0,0,0.000000,0,0,1.555317,0.872495,0.644888, ->,FIN,64256,525568,1146236736,22832565,1460,1460,0.000061,0.000050,0.000011,Mws,,2648,210.750000,205.111115
07/03.05:56:38.031653,07/03.05:56:48.931163,1, e *      ,10.899510,10.899510,1728415872.000000,10.899510,0.000000,10.899510,10.899510,10.899510,UAA,UAA,e,e,192.168.10.9,192.168.10.3,tcp,1030,microsoft-ds,0,0,cs0,cs0,128,128,0,0,0x5f00,0x5855,0,Start,43,25,18,12284,8880,3404,0,0,0,-0.000000,8616.900391,6257.161621,2359.739014,16,8,8,27.118644,0,0,0,0.000000,0,0,3.853384,2.201934,1.559703, ->,RST,64256,525056,560014235,625594901,1460,1460,0.000060,0.000046,0.000014,Mws,,2860,355.200012,189.111115
07/03.05:56:38.033562,07/03.05:56:38.034271,1, e *      ,0.000709,0.000709,1728415872.000000,0.000709,0.000000,0.000709,0.000709,0.000709,UAA,UAA,e,e,192.168.10.9,192.168.10.3,tcp,1031,kerberos,0,0,cs0,cs0,128,128,0,0,0x2000,0x1d55,0,Start,16,8,8,1840,946,894,0,0,0,-0.000000,18177716.000000,9342736.000000,8834979.000000,4,2,2,20.000000,0,0,0,0.000000,0,0,21156.558594,9873.060547,9873.060547, ->,RST,65536,525568,840587436,3014847988,1460,1460,0.000046,0.000019,0.000027,Mws,,3072,118.250000,111.750000
07/03.05:56:38.050591,07/03.05:56:38.051563,1, e *      ,0.000972,0.000972,1728415872.000000,0.000972,0.000000,0.000972,0.000972,0.000972,UAA,UAA,e,e,192.168.10.9,192.168.10.3,tcp,1032,kerberos,0,0,cs0,cs0,128,128,0,0,0x2500,0x2255,0,Start,18,10,8,4770,1226,3544,0,0,0,-0.000000,34609052.000000,9086420.000000,25522634.000000,4,2,2,18.181818,0,0,0,0.000000,0,0,17489.710938,9259.258789,7201.645996, ->,RST,65536,525568,3186491625,1280996766,1460,1460,0.000056,0.000039,0.000017,Mws,,3284,122.599998,443.000000
07/03.05:56:38.107245,07/03.05:56:38.108487,1, e *      ,0.001242,0.001242,1728415872.000000,0.001242,0.000000,0.001242,0.001242,0.001242,UAA,UAA,e,e,192.168.10.9,192.168.10.3,tcp,1033,kerberos,0,0,cs0,cs0,128,128,0,0,0x2b00,0x2855,0,Start,20,10,10,7340,3704,3636,0,0,0,-0.000000,42557164.000000,21475040.000000,21082126.000000,4,2,2,16.666667,0,0,0,0.000000,0,0,15297.906250,7246.376465,7246.376465, ->,RST,65536,525568,771997904,926140324,1460,1460,0.000059,0.000034,0.000025,Mws,,3496,370.399994,363.600006
07/03.05:56:38.108547,07/03.05:56:38.109302,1, e *      ,0.000755,0.000755,1728415872.000000,0.000755,0.000000,0.000755,0.000755,0.000755,UAA,UAA,e,e,192.168.10.9,192.168.10.3,tcp,1034,kerberos,0,0,cs0,cs0,128,128,0,0,0x2f00,0x2c55,0,Start,16,8,8,6574,3274,3300,0,0,0,-0.000000,60958940.000000,30357616.000000,30601326.000000,4,2,2,20.000000,0,0,0,0.000000,0,0,19867.550781,9271.523438,9271.523438, ->,RST,65536,525568,808372984,3795707230,1460,1460,0.000049,0.000040,0.000009,Mws,,3708,409.250000,412.500000
07/03.05:56:38.126771,07/03.06:10:58.143091,1, e        ,860.016296,860.016296,1728415872.000000,860.016296,0.000000,860.016296,860.016296,860.016296,UAA,UAA,e,e,192.168.10.9,192.168.10.1,arp,,,,,,,,,,,,,0,Start,85,75,10,5100,4500,600,0,0,0,-0.000000,46.324703,41.301544,5.023160,0,0,0,0.000000,0,0,0,0.000000,,,0.097673,0.086045,0.010465,who,CON,,,,,,,0.000000,0.000000,0.000000,,,3920,60.000000,60.000000
07/03.05:56:38.127853,07/03.05:56:38.128094,1, e        ,0.000241,0.000241,1728415872.000000,0.000241,0.000000,0.000241,0.000241,0.000241,UAA,UAA,e,e,192.168.10.9,192.168.10.3,udp,65439,domain,0,0,cs0,cs0,128,128,0,0,0x3500,0x3155,0,Start,4,2,2,552,226,326,0,0,0,-0.000000,9161826.000000,3751037.250000,5410788.500000,0,0,0,0.000000,0,0,0,0.000000,,,12448.132812,4149.377441,4149.377441,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,4172,113.000000,163.000000
07/03.05:56:38.128505,07/03.05:56:38.128649,1, e        ,0.000144,0.000144,1728415872.000000,0.000144,0.000000,0.000144,0.000144,0.000144,UAA,UAA,e,e,192.168.10.9,192.168.10.3,udp,65440,ldap,0,0,cs0,cs0,128,128,0,0,0x3600,0x3255,0,Start,4,2,2,822,412,410,0,0,0,-0.000000,22833332.000000,11444444.000000,11388888.000000,0,0,0,0.000000,0,0,0,0.000000,,,20833.332031,6944.444336,6944.444336,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,4260,206.000000,205.000000
07/03.05:56:38.229635,07/03.05:56:38.248014,1, e *      ,0.018379,0.018379,1728415872.000000,0.018379,0.000000,0.018379,0.018379,0.018379,UAA,UAA,e,e,192.168.10.9,192.168.10.3,tcp,1035,ldap,0,0,cs0,cs0,128,128,0,0,0x4600,0x3f55,0,Start,27,14,13,11396,4946,6450,0,0,0,-0.000000,4590892.000000,1999238.375000,2591653.750000,7,4,3,20.588235,0,0,0,0.000000,0,0,1414.658081,707.329041,652.919128, ->,RST,65280,525568,1973985240,2754998885,1460,1460,0.000066,0.000060,0.000006,Mws,,4348,353.285706,496.153839
07/03.05:56:38.245067,07/03.05:56:38.246295,1, e *      ,0.001228,0.001228,1728415872.000000,0.001228,0.000000,0.001228,0.001228,0.001228,UAA,UAA,e,e,192.168.10.9,192.168.10.3,tcp,1036,kerberos,0,0,cs0,cs0,128,128,0,0,0x4200,0x3b55,0,Start,20,10,10,7378,3730,3648,0,0,0,-0.000000,43263844.000000,21869706.000000,21394136.000000,4,2,2,16.666667,0,0,0,0.000000,0,0,15472.312500,7328.990234,7328.990234, ->,RST,65536,525568,2519705342,815458721,1460,1460,0.000059,0.000049,0.000010,Mws,,4560,373.000000,364.799988
07/03.05:56:39.676367,07/03.05:56:39.706989,1, e        ,0.030622,0.030622,1728415872.000000,0.030622,0.000000,0.030622,0.030622,0.030622,UAA,UAA,e,e,192.168.10.3,192.168.10.1,udp,61995,domain,0,0,cs0,cs0,128,255,0,0,0xde56,0xb637,0,Start,2,1,1,247,95,152,0,0,0,-0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,32.656261,0.000000,0.000000,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,4772,95.000000,152.000000
07/03.05:56:39.707917,07/03.05:56:40.128930,1, e        ,0.421013,0.421013,1728415872.000000,0.421013,0.000000,0.421013,0.421013,0.421013,UAA,UAA,e,,192.168.10.3,224.0.0.252,udp,51128,hostmon,0,,cs0,,1,,0,,0x4a77,,0,Start,18,18,0,1512,1512,0,0,0,0,-0.000000,27134.554688,27134.554688,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,40.378799,40.378799,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,4856,84.000000,0.000000
07/03.05:56:41.708134,07/03.05:56:42.129014,1, e        ,0.420880,0.420880,1728415872.000000,0.420880,0.000000,0.420880,0.420880,0.420880,UAA,UAA,e,,192.168.10.3,224.0.0.252,udp,59388,hostmon,0,,cs0,,1,,0,,0x5477,,0,Start,18,18,0,2376,2376,0,0,0,0,-0.000000,42653.488281,42653.488281,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,40.391563,40.391563,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,4936,132.000000,0.000000
07/03.05:56:41.708150,07/03.05:56:42.129004,1, e        ,0.420854,0.420854,1728415872.000000,0.420854,0.000000,0.420854,0.420854,0.420854,UAA,UAA,e,,192.168.10.3,224.0.0.252,udp,53761,hostmon,0,,cs0,,1,,0,,0x5377,,0,Start,18,18,0,2376,2376,0,0,0,0,-0.000000,42656.121094,42656.121094,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,40.394054,40.394054,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,5016,132.000000,0.000000
07/03.05:56:41.708215,07/03.05:56:44.707590,1, eU       ,2.999375,2.999375,1728415872.000000,2.999375,0.000000,2.999375,2.999375,2.999375,UAA,UAA,e,,192.168.10.3,192.168.10.1,udp,netbios-ns,netbios-ns,0,,cs0,,128,,0,,0xe156,,0,Start,3,3,0,276,276,0,0,0,0,-0.000000,490.768890,490.768890,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.666806,0.666806,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,192.168.10.1,5096,92.000000,0.000000
07/03.05:56:41.708293,07/03.05:56:42.128994,1, e        ,0.420701,0.420701,1728415872.000000,0.420701,0.000000,0.420701,0.420701,0.420701,UAA,UAA,e,,192.168.10.3,224.0.0.252,udp,56697,hostmon,0,,cs0,,1,,0,,0x5277,,0,Start,18,18,0,2376,2376,0,0,0,0,-0.000000,42671.636719,42671.636719,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,40.408745,40.408745,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,5208,132.000000,0.000000
07/03.05:56:41.708405,07/03.05:56:42.128971,1, e        ,0.420566,0.420566,1728415872.000000,0.420566,0.000000,0.420566,0.420566,0.420566,UAA,UAA,e,,192.168.10.3,224.0.0.252,rtp,50146,hostmon,0,,cs0,,1,,0,,0x5077,,0,Start,18,18,0,2376,2376,0,0,0,0,-0.000000,42685.335938,42685.335938,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,40.421719,40.421719,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,5288,132.000000,0.000000
07/03.05:56:41.708524,07/03.05:56:42.128984,1, e        ,0.420460,0.420460,1728415872.000000,0.420460,0.000000,0.420460,0.420460,0.420460,UAA,UAA,e,,192.168.10.3,224.0.0.252,rtp,50672,hostmon,0,,cs0,,1,,0,,0x5177,,0,Start,18,18,0,1530,1530,0,0,0,0,-0.000000,27493.699219,27493.699219,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,40.431908,40.431908,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,5404,85.000000,0.000000
07/03.05:56:41.708710,07/03.05:56:44.707590,1, e        ,2.998880,2.998880,1728415872.000000,2.998880,0.000000,2.998880,2.998880,2.998880,UAA,UAA,e,,192.168.10.1,192.168.10.3,icmp,dstunreach,unrport,192,,cs6,,255,,0,,0x7dd1,,0,Start,3,3,0,210,210,0,0,0,0,-0.000000,373.472778,373.472778,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.666916,0.666916,0.000000, ->,URP,,,,,,,0.000000,0.000000,0.000000,,,5520,70.000000,0.000000
07/03.05:56:44.613212,07/03.06:10:32.109498,1, e        ,827.496277,827.496277,1728415872.000000,827.496277,0.000000,827.496277,827.496277,827.496277,UAA,UAA,e,e,192.168.10.3,192.168.10.1,arp,,,,,,,,,,,,,0,Start,36,18,18,2160,1080,1080,0,0,0,-0.000000,19.722143,9.861072,9.861072,0,0,0,0.000000,0,0,0,0.000000,,,0.042296,0.020544,0.020544,who,CON,,,,,,,0.000000,0.000000,0.000000,,,5624,60.000000,60.000000
07/03.05:56:45.577380,07/03.05:56:45.577690,1, e        ,0.000310,0.000310,1728415872.000000,0.000310,0.000000,0.000310,0.000310,0.000310,UAA,UAA,e,e,192.168.10.9,192.168.10.3,udp,52504,domain,0,0,cs0,cs0,128,128,0,0,0x4b00,0x4655,0,Start,4,2,2,460,164,296,0,0,0,-0.000000,5935484.000000,2116129.000000,3819354.750000,0,0,0,0.000000,0,0,0,0.000000,,,9677.418945,3225.806396,3225.806396,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,5876,82.000000,148.000000
07/03.05:56:45.578172,07/03.05:56:45.578938,1, e        ,0.000766,0.000766,1728415872.000000,0.000766,0.000000,0.000766,0.000766,0.000766,UAA,UAA,e,e,192.168.10.9,192.168.10.3,udp,49474,domain,0,0,cs0,cs0,128,128,0,0,0x4c00,0x4755,0,Start,4,2,2,580,290,290,0,0,0,-0.000000,3028720.500000,1514360.250000,1514360.250000,0,0,0,0.000000,0,0,0,0.000000,,,3916.448975,1305.483032,1305.483032,<->,CON,,,,,,,0.000000,0.000000,0.000000,,,5964,145.000000,145.000000
